2018-11-08 13:13:33.9319 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:13:33.9319 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:13:33.9319 | DEBUG | Logger | Passed
2018-11-08 13:13:35.6902 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:13:35.6902 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:13:35.6902 | DEBUG | Logger | Failed
2018-11-08 13:13:36.7696 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:13:36.7696 | DEBUG | Logger | CreateProject_Post
2018-11-08 13:13:36.7696 | DEBUG | Logger | Failed
2018-11-08 13:13:37.8545 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:13:37.8545 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:13:37.8545 | DEBUG | Logger | Passed
2018-11-08 13:13:39.0245 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:13:39.0245 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:13:39.0245 | DEBUG | Logger | Passed
2018-11-08 13:13:39.9572 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:13:39.9572 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:13:39.9572 | DEBUG | Logger | Passed
2018-11-08 13:13:40.4045 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:13:40.4045 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:13:40.4045 | DEBUG | Logger | Failed
2018-11-08 13:13:41.4489 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:13:41.4489 | DEBUG | Logger | GetAllProjectsAndOneRandomId
2018-11-08 13:13:41.4489 | DEBUG | Logger | Passed
2018-11-08 13:13:41.9501 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:13:41.9535 | DEBUG | Logger | ConfigureRandomProject_Post
2018-11-08 13:13:41.9535 | DEBUG | Logger | Passed
2018-11-08 13:14:20.8547 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:14:20.8746 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:14:20.8746 | DEBUG | Logger | Passed
2018-11-08 13:14:34.4202 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:14:34.4410 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:14:34.4410 | DEBUG | Logger | Failed
2018-11-08 13:14:35.4576 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:14:35.4576 | DEBUG | Logger | CreateProject_Post
2018-11-08 13:14:35.4576 | DEBUG | Logger | Failed
2018-11-08 13:15:06.4230 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:15:06.4439 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:15:06.4439 | DEBUG | Logger | Passed
2018-11-08 13:15:07.4445 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:15:07.4445 | DEBUG | Logger | CreateProject_Post
2018-11-08 13:15:07.4445 | DEBUG | Logger | Passed
2018-11-08 13:15:38.6514 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:15:38.6732 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:15:38.6732 | DEBUG | Logger | Passed
2018-11-08 13:15:39.7088 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:15:39.7088 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:15:39.7088 | DEBUG | Logger | Passed
2018-11-08 13:15:40.2153 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:15:40.2153 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:15:40.2167 | DEBUG | Logger | Failed
2018-11-08 13:16:12.6198 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:12.6401 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:16:12.6401 | DEBUG | Logger | Passed
